Customer_id,Product_id,Product_category,Payment_type,Device_Type,Event_date
CUST-191032,Prod_190032,Books,Visa Card,Desktop,Purchase,05-06-2020
CUST-191033,Prod_190033,Electronics,Paypal,Desktop,Purchase,11-07-2020
CUST-191034,Prod_190034,Accessories,Momo,Desktop,Purchase,16-08-2020
CUST-191035,Prod_190035,Electronics,Momo,Mobile,Purchase,18-09-2023
CUST-191036,Prod_190036,Beauty,Paypal,Mobile,Purchase,25-09-2020
CUST-191037,Prod_190037,Hardware,Momo,Mobile,Purchase,07-04-2024
CUST-191038,Prod_190038,Accessories,Visa Card,Desktop,Purchase,21-02-2022
CUST-191039,Prod_190039,Books,Momo,Desktop,Addtocart,08-04-2022
CUST-191040,Prod_190040,Clothes,Visa Card,Desktop,Addtocart,04-07-2023
CUST-191041,Prod_190041,Hardware,Momo,Mobile,Purchase,10-04-2024
CUST-191042,Prod_190042,Accessories,Visa Card,Mobile,Addtocart,21-01-2021
CUST-191043,Prod_190043,Accessories,Momo,Desktop,Purchase,07-12-2021
CUST-191044,Prod_190044,Electronics,Paypal,Desktop,Purchase,14-11-2024
CUST-191045,Prod_190045,Beauty,Visa Card,Mobile,Purchase,08-07-2023
CUST-191046,Prod_190046,Furniture,Visa Card,Desktop,Addtocart,31-03-2025
CUST-191047,Prod_190047,Books,Visa Card,Mobile,Addtocart,12-10-2020
CUST-191048,Prod_190048,Furniture,Momo,Mobile,Purchase,25-08-2021
CUST-191049,Prod_190049,Accessories,Paypal,Desktop,Purchase,31-08-2020
CUST-191050,Prod_190050,Beauty,Visa Card,Desktop,Addtocart,25-06-2020
CUST-191051,Prod_190051,Beauty,Paypal,Mobile,Addtocart,22-09-2020
CUST-191052,Prod_190052,Books,Visa Card,Mobile,Purchase,01-08-2020
CUST-191053,Prod_190053,Books,Paypal,Mobile,Addtocart,29-06-2021
CUST-191054,Prod_190054,Furniture,Visa Card,Mobile,Purchase,27-04-2024
CUST-191055,Prod_190055,Furniture,Visa Card,Desktop,Purchase,05-06-2023
CUST-191056,Prod_190056,Clothes,Paypal,Desktop,Addtocart,13-09-2022
CUST-191057,Prod_190057,Books,Momo,Desktop,Addtocart,24-05-2021
CUST-191058,Prod_190058,Books,Visa Card,Desktop,Purchase,13-01-2023
CUST-191059,Prod_190059,Beauty,Visa Card,Desktop,Purchase,25-05-2022
CUST-191060,Prod_190060,Accessories,Visa Card,Desktop,Purchase,18-09-2022
CUST-191061,Prod_190061,Accessories,Visa Card,Mobile,Purchase,02-01-2021
CUST-191062,Prod_190062,Accessories,Momo,Desktop,Addtocart,25-03-2025
CUST-191063,Prod_190063,Books,Visa Card,Desktop,Purchase,28-03-2025
CUST-191064,Prod_190064,Accessories,Paypal,Mobile,Addtocart,12-01-2024
CUST-191065,Prod_190065,Clothes,Paypal,Mobile,Addtocart,19-05-2021
CUST-191066,Prod_190066,Accessories,Momo,Mobile,Purchase,24-07-2021
CUST-191067,Prod_190067,Clothes,Paypal,Desktop,Addtocart,14-01-2021
CUST-191068,Prod_190068,Hardware,Paypal,Mobile,Addtocart,10-02-2020
CUST-191069,Prod_190069,Electronics,Paypal,Desktop,Addtocart,26-07-2020
CUST-191070,Prod_190070,Electronics,Paypal,Desktop,Addtocart,16-06-2022
CUST-191071,Prod_190071,Electronics,Paypal,Desktop,Purchase,01-07-2020
CUST-191072,Prod_190072,Clothes,Paypal,Mobile,Addtocart,24-04-2025
CUST-191073,Prod_190073,Electronics,Momo,Desktop,Purchase,19-11-2021
CUST-191074,Prod_190074,Hardware,Paypal,Mobile,Addtocart,07-02-2021
CUST-191075,Prod_190075,Electronics,Visa Card,Mobile,Purchase,17-10-2023
CUST-191076,Prod_190076,Furniture,Paypal,Mobile,Purchase,07-02-2025
CUST-191077,Prod_190077,Accessories,Paypal,Desktop,Purchase,01-01-2021
CUST-191078,Prod_190078,Accessories,Momo,Mobile,Purchase,20-06-2021
CUST-191079,Prod_190079,Furniture,Paypal,Desktop,Addtocart,26-01-2025
CUST-191080,Prod_190080,Furniture,Paypal,Mobile,Addtocart,11-12-2023
CUST-191081,Prod_190081,Hardware,Momo,Mobile,Addtocart,22-05-2023
CUST-191082,Prod_190082,Electronics,Visa Card,Desktop,Purchase,28-05-2020
CUST-191083,Prod_190083,Furniture,Momo,Mobile,Addtocart,16-02-2020
CUST-191084,Prod_190084,Books,Paypal,Desktop,Purchase,22-11-2020
CUST-191085,Prod_190085,Beauty,Visa Card,Desktop,Addtocart,23-06-2024
CUST-191086,Prod_190086,Accessories,Visa Card,Desktop,Purchase,20-05-2024
CUST-191087,Prod_190087,Hardware,Momo,Desktop,Purchase,12-02-2021
CUST-191088,Prod_190088,Furniture,Momo,Desktop,Purchase,28-04-2024
CUST-191089,Prod_190089,Clothes,Visa Card,Desktop,Addtocart,24-12-2022
CUST-191090,Prod_190090,Hardware,Momo,Mobile,Purchase,03-02-2025
CUST-191091,Prod_190091,Accessories,Paypal,Desktop,Addtocart,27-11-2023
CUST-191092,Prod_190092,Hardware,Momo,Mobile,Addtocart,24-08-2022
CUST-191093,Prod_190093,Beauty,Visa Card,Mobile,Purchase,26-12-2021
CUST-191094,Prod_190094,Accessories,Paypal,Desktop,Addtocart,24-06-2021
CUST-191095,Prod_190095,Beauty,Visa Card,Desktop,Addtocart,10-09-2023
CUST-191096,Prod_190096,Hardware,Paypal,Mobile,Purchase,19-08-2022
CUST-191097,Prod_190097,Beauty,Visa Card,Mobile,Purchase,02-11-2021
CUST-191098,Prod_190098,Books,Paypal,Desktop,Purchase,02-08-2023
CUST-191099,Prod_190099,Electronics,Momo,Desktop,Purchase,15-06-2020
CUST-191100,Prod_190100,Accessories,Visa Card,Desktop,Purchase,18-07-2024
CUST-191101,Prod_190101,Hardware,Visa Card,Desktop,Purchase,16-06-2022
CUST-191102,Prod_190102,Furniture,Visa Card,Mobile,Purchase,26-12-2023
CUST-191103,Prod_190103,Hardware,Paypal,Mobile,Addtocart,12-04-2025
CUST-191104,Prod_190104,Electronics,Momo,Desktop,Purchase,19-09-2023
CUST-191105,Prod_190105,Accessories,Visa Card,Mobile,Purchase,31-08-2021
CUST-191106,Prod_190106,Electronics,Visa Card,Desktop,Addtocart,11-04-2025
CUST-191107,Prod_190107,Hardware,Paypal,Desktop,Purchase,11-12-2021
CUST-191108,Prod_190108,Hardware,Momo,Desktop,Purchase,04-07-2020
CUST-191109,Prod_190109,Electronics,Paypal,Desktop,Addtocart,31-01-2022
CUST-191110,Prod_190110,Clothes,Momo,Mobile,Addtocart,14-06-2024
CUST-191111,Prod_190111,Electronics,Momo,Mobile,Purchase,15-09-2023
CUST-191112,Prod_190112,Books,Visa Card,Mobile,Addtocart,18-08-2020
CUST-191113,Prod_190113,Accessories,Momo,Desktop,Purchase,05-03-2023
CUST-191114,Prod_190114,Clothes,Visa Card,Desktop,Purchase,26-03-2022
CUST-191115,Prod_190115,Clothes,Paypal,Mobile,Addtocart,12-06-2020
CUST-191116,Prod_190116,Books,Paypal,Mobile,Purchase,01-07-2023
CUST-191117,Prod_190117,Accessories,Paypal,Desktop,Purchase,07-04-2025
CUST-191118,Prod_190118,Furniture,Visa Card,Mobile,Addtocart,20-03-2024
CUST-191119,Prod_190119,Hardware,Visa Card,Desktop,Addtocart,09-05-2022
CUST-191120,Prod_190120,Beauty,Visa Card,Mobile,Purchase,27-01-2020
CUST-191121,Prod_190121,Hardware,Momo,Mobile,Purchase,01-02-2023
CUST-191122,Prod_190122,Beauty,Paypal,Desktop,Purchase,03-12-2021
CUST-191123,Prod_190123,Books,Momo,Desktop,Addtocart,27-03-2025
CUST-191124,Prod_190124,Hardware,Momo,Desktop,Purchase,10-05-2024
CUST-191125,Prod_190125,Hardware,Momo,Mobile,Addtocart,09-11-2022
CUST-191126,Prod_190126,Books,Visa Card,Desktop,Purchase,06-01-2025
CUST-191127,Prod_190127,Furniture,Paypal,Mobile,Addtocart,17-04-2021
CUST-191128,Prod_190128,Furniture,Visa Card,Desktop,Purchase,01-07-2022
CUST-191129,Prod_190129,Beauty,Visa Card,Mobile,Addtocart,16-04-2025
CUST-191130,Prod_190130,Electronics,Momo,Mobile,Purchase,29-01-2024
CUST-191131,Prod_190131,Hardware,Paypal,Desktop,Addtocart,26-05-2023
CUST-191132,Prod_190132,Electronics,Momo,Desktop,Purchase,11-08-2024
CUST-191133,Prod_190133,Electronics,Paypal,Mobile,Purchase,05-03-2021
CUST-191134,Prod_190134,Electronics,Paypal,Desktop,Purchase,14-07-2024
CUST-191135,Prod_190135,Electronics,Visa Card,Desktop,Addtocart,24-03-2025
CUST-191136,Prod_190136,Clothes,Momo,Mobile,Addtocart,28-09-2024
CUST-191137,Prod_190137,Furniture,Visa Card,Mobile,Purchase,11-10-2022
CUST-191138,Prod_190138,Accessories,Paypal,Desktop,Purchase,28-11-2024
CUST-191139,Prod_190139,Beauty,Visa Card,Mobile,Purchase,09-07-2020
CUST-191140,Prod_190140,Beauty,Visa Card,Desktop,Purchase,30-03-2023
CUST-191141,Prod_190141,Furniture,Paypal,Desktop,Addtocart,22-07-2023
CUST-191142,Prod_190142,Hardware,Paypal,Desktop,Purchase,22-11-2020
CUST-191143,Prod_190143,Accessories,Visa Card,Desktop,Purchase,24-06-2022
CUST-191144,Prod_190144,Electronics,Visa Card,Mobile,Addtocart,24-11-2020
CUST-191145,Prod_190145,Furniture,Paypal,Desktop,Addtocart,10-04-2022
CUST-191146,Prod_190146,Clothes,Momo,Desktop,Purchase,11-08-2021
CUST-191147,Prod_190147,Accessories,Momo,Mobile,Addtocart,14-02-2022
CUST-191148,Prod_190148,Accessories,Visa Card,Desktop,Purchase,29-05-2023
CUST-191149,Prod_190149,Beauty,Momo,Mobile,Addtocart,29-02-2020
CUST-191150,Prod_190150,Clothes,Momo,Mobile,Purchase,20-09-2022
CUST-191151,Prod_190151,Books,Visa Card,Mobile,Purchase,01-01-2021
CUST-191152,Prod_190152,Furniture,Visa Card,Desktop,Addtocart,22-01-2021
CUST-191153,Prod_190153,Books,Paypal,Desktop,Addtocart,28-07-2022
CUST-191154,Prod_190154,Beauty,Paypal,Desktop,Purchase,18-01-2020
CUST-191155,Prod_190155,Beauty,Paypal,Desktop,Addtocart,26-05-2024
CUST-191156,Prod_190156,Hardware,Paypal,Desktop,Addtocart,05-01-2020
CUST-191157,Prod_190157,Books,Visa Card,Desktop,Purchase,28-07-2020
CUST-191158,Prod_190158,Accessories,Visa Card,Mobile,Purchase,20-01-2021
CUST-191159,Prod_190159,Furniture,Visa Card,Desktop,Addtocart,18-03-2022
CUST-191160,Prod_190160,Books,Paypal,Desktop,Addtocart,17-05-2023
CUST-191161,Prod_190161,Beauty,Paypal,Mobile,Purchase,13-01-2022
CUST-191162,Prod_190162,Electronics,Paypal,Mobile,Purchase,23-08-2020
CUST-191163,Prod_190163,Furniture,Momo,Mobile,Purchase,21-07-2021
CUST-191164,Prod_190164,Hardware,Visa Card,Desktop,Purchase,08-01-2022
CUST-191165,Prod_190165,Furniture,Visa Card,Mobile,Purchase,23-09-2024
CUST-191166,Prod_190166,Clothes,Visa Card,Mobile,Addtocart,22-06-2023
CUST-191167,Prod_190167,Beauty,Paypal,Mobile,Purchase,08-10-2022
CUST-191168,Prod_190168,Hardware,Momo,Mobile,Addtocart,07-01-2020
CUST-191169,Prod_190169,Books,Paypal,Desktop,Purchase,24-05-2023
CUST-191170,Prod_190170,Hardware,Paypal,Mobile,Purchase,18-09-2021
CUST-191171,Prod_190171,Books,Paypal,Desktop,Purchase,22-05-2021
CUST-191172,Prod_190172,Clothes,Paypal,Mobile,Purchase,22-09-2023
CUST-191173,Prod_190173,Beauty,Visa Card,Mobile,Purchase,22-04-2024
CUST-191174,Prod_190174,Furniture,Visa Card,Desktop,Addtocart,05-10-2023
CUST-191175,Prod_190175,Clothes,Visa Card,Mobile,Addtocart,10-11-2021
CUST-191176,Prod_190176,Accessories,Momo,Desktop,Addtocart,17-02-2021
CUST-191177,Prod_190177,Beauty,Paypal,Mobile,Purchase,17-11-2022
CUST-191178,Prod_190178,Beauty,Paypal,Desktop,Purchase,17-11-2020
CUST-191179,Prod_190179,Electronics,Paypal,Desktop,Addtocart,30-01-2022
CUST-191180,Prod_190180,Furniture,Momo,Desktop,Addtocart,06-06-2023
CUST-191181,Prod_190181,Clothes,Momo,Desktop,Purchase,11-06-2023
CUST-191182,Prod_190182,Beauty,Visa Card,Desktop,Purchase,22-09-2023
CUST-191183,Prod_190183,Furniture,Visa Card,Mobile,Addtocart,02-07-2023
CUST-191184,Prod_190184,Clothes,Paypal,Desktop,Purchase,25-01-2022
CUST-191185,Prod_190185,Electronics,Momo,Desktop,Purchase,11-01-2025
CUST-191186,Prod_190186,Hardware,Visa Card,Mobile,Purchase,17-05-2022
CUST-191187,Prod_190187,Hardware,Paypal,Desktop,Addtocart,04-02-2021
CUST-191188,Prod_190188,Electronics,Paypal,Mobile,Purchase,04-07-2022
CUST-191189,Prod_190189,Beauty,Momo,Desktop,Addtocart,30-03-2021
CUST-191190,Prod_190190,Accessories,Momo,Mobile,Addtocart,10-04-2020
CUST-191191,Prod_190191,Clothes,Visa Card,Desktop,Addtocart,22-03-2025
CUST-191192,Prod_190192,Hardware,Paypal,Mobile,Addtocart,12-10-2023
CUST-191193,Prod_190193,Hardware,Visa Card,Mobile,Addtocart,09-09-2021
CUST-191194,Prod_190194,Furniture,Momo,Mobile,Purchase,22-05-2020
CUST-191195,Prod_190195,Books,Momo,Mobile,Addtocart,06-03-2025
CUST-191196,Prod_190196,Beauty,Visa Card,Desktop,Addtocart,17-03-2024
CUST-191197,Prod_190197,Books,Paypal,Desktop,Purchase,13-07-2020
CUST-191198,Prod_190198,Electronics,Momo,Mobile,Purchase,12-06-2023
CUST-191199,Prod_190199,Clothes,Visa Card,Mobile,Addtocart,23-02-2021
CUST-191200,Prod_190200,Electronics,Paypal,Mobile,Addtocart,18-08-2020
CUST-191201,Prod_190201,Hardware,Visa Card,Desktop,Addtocart,28-03-2020
CUST-191202,Prod_190202,Accessories,Paypal,Desktop,Purchase,25-01-2021
CUST-191203,Prod_190203,Electronics,Visa Card,Mobile,Purchase,20-03-2022
CUST-191204,Prod_190204,Accessories,Visa Card,Mobile,Addtocart,31-10-2023
CUST-191205,Prod_190205,Beauty,Momo,Desktop,Addtocart,01-09-2021
CUST-191206,Prod_190206,Hardware,Momo,Desktop,Addtocart,14-09-2022
CUST-191207,Prod_190207,Hardware,Momo,Mobile,Addtocart,31-12-2023
CUST-191208,Prod_190208,Books,Momo,Mobile,Addtocart,23-07-2021
CUST-191209,Prod_190209,Hardware,Paypal,Mobile,Purchase,09-06-2022
CUST-191210,Prod_190210,Hardware,Paypal,Mobile,Addtocart,29-12-2022
CUST-191211,Prod_190211,Beauty,Momo,Desktop,Purchase,15-02-2024
CUST-191212,Prod_190212,Furniture,Momo,Desktop,Addtocart,06-09-2024
CUST-191213,Prod_190213,Hardware,Paypal,Desktop,Addtocart,11-12-2023
CUST-191214,Prod_190214,Beauty,Paypal,Desktop,Addtocart,21-05-2023
CUST-191215,Prod_190215,Electronics,Momo,Desktop,Purchase,10-07-2022
CUST-191216,Prod_190216,Clothes,Momo,Mobile,Addtocart,27-03-2023
CUST-191217,Prod_190217,Hardware,Momo,Mobile,Addtocart,13-07-2020
CUST-191218,Prod_190218,Accessories,Visa Card,Desktop,Purchase,04-05-2020
CUST-191219,Prod_190219,Accessories,Momo,Mobile,Addtocart,01-12-2020
CUST-191220,Prod_190220,Hardware,Visa Card,Desktop,Addtocart,12-02-2024
CUST-191221,Prod_190221,Beauty,Visa Card,Mobile,Addtocart,03-08-2024
CUST-191222,Prod_190222,Beauty,Momo,Mobile,Addtocart,28-11-2024
CUST-191223,Prod_190223,Clothes,Paypal,Mobile,Purchase,24-02-2023
CUST-191224,Prod_190224,Clothes,Paypal,Mobile,Purchase,17-03-2024
CUST-191225,Prod_190225,Electronics,Momo,Mobile,Addtocart,06-08-2022
CUST-191226,Prod_190226,Electronics,Momo,Desktop,Addtocart,14-03-2022
CUST-191227,Prod_190227,Beauty,Momo,Mobile,Addtocart,12-09-2024
CUST-191228,Prod_190228,Clothes,Momo,Mobile,Purchase,20-03-2023
CUST-191229,Prod_190229,Beauty,Momo,Mobile,Purchase,20-06-2021
CUST-191230,Prod_190230,Electronics,Paypal,Desktop,Purchase,06-01-2021
CUST-191231,Prod_190231,Books,Paypal,Mobile,Addtocart,13-10-2020
CUST-191232,Prod_190232,Clothes,Momo,Desktop,Addtocart,18-10-2023
CUST-191233,Prod_190233,Furniture,Paypal,Desktop,Purchase,04-12-2024
CUST-191234,Prod_190234,Accessories,Momo,Desktop,Purchase,05-09-2024
CUST-191235,Prod_190235,Accessories,Momo,Mobile,Purchase,13-01-2025
CUST-191236,Prod_190236,Electronics,Momo,Mobile,Purchase,06-02-2020
CUST-191237,Prod_190237,Books,Visa Card,Mobile,Purchase,12-04-2024
CUST-191238,Prod_190238,Electronics,Momo,Desktop,Purchase,10-03-2024
CUST-191239,Prod_190239,Books,Visa Card,Desktop,Addtocart,27-12-2020
CUST-191240,Prod_190240,Books,Paypal,Desktop,Purchase,08-10-2023
CUST-191241,Prod_190241,Beauty,Paypal,Desktop,Purchase,18-02-2025
CUST-191242,Prod_190242,Furniture,Visa Card,Desktop,Addtocart,22-05-2022
CUST-191243,Prod_190243,Electronics,Visa Card,Mobile,Addtocart,25-01-2024
CUST-191244,Prod_190244,Beauty,Momo,Desktop,Purchase,11-11-2021
CUST-191245,Prod_190245,Books,Visa Card,Desktop,Purchase,07-10-2024
CUST-191246,Prod_190246,Accessories,Momo,Mobile,Purchase,29-09-2023
CUST-191247,Prod_190247,Books,Momo,Mobile,Addtocart,15-08-2022
CUST-191248,Prod_190248,Accessories,Paypal,Desktop,Addtocart,08-03-2025
CUST-191249,Prod_190249,Furniture,Visa Card,Mobile,Addtocart,05-11-2021
CUST-191250,Prod_190250,Electronics,Momo,Mobile,Purchase,11-03-2024
CUST-191251,Prod_190251,Accessories,Visa Card,Desktop,Addtocart,24-04-2024
CUST-191252,Prod_190252,Beauty,Momo,Mobile,Addtocart,04-07-2023
CUST-191253,Prod_190253,Clothes,Visa Card,Mobile,Addtocart,03-02-2020
CUST-191254,Prod_190254,Accessories,Momo,Mobile,Addtocart,31-10-2022
CUST-191255,Prod_190255,Hardware,Paypal,Desktop,Addtocart,19-02-2020
CUST-191256,Prod_190256,Clothes,Momo,Desktop,Addtocart,13-07-2021
CUST-191257,Prod_190257,Hardware,Visa Card,Mobile,Addtocart,17-03-2023
CUST-191258,Prod_190258,Furniture,Visa Card,Mobile,Purchase,05-09-2024
CUST-191259,Prod_190259,Hardware,Momo,Mobile,Addtocart,27-05-2022
CUST-191260,Prod_190260,Accessories,Momo,Desktop,Addtocart,28-11-2024
CUST-191261,Prod_190261,Furniture,Visa Card,Mobile,Purchase,25-08-2020
CUST-191262,Prod_190262,Hardware,Paypal,Mobile,Purchase,09-10-2022
CUST-191263,Prod_190263,Electronics,Momo,Mobile,Purchase,13-12-2024
CUST-191264,Prod_190264,Clothes,Paypal,Mobile,Purchase,10-12-2021
CUST-191265,Prod_190265,Accessories,Momo,Desktop,Purchase,20-04-2025
CUST-191266,Prod_190266,Furniture,Paypal,Desktop,Addtocart,31-10-2023
CUST-191267,Prod_190267,Electronics,Visa Card,Desktop,Purchase,27-12-2024
CUST-191268,Prod_190268,Beauty,Visa Card,Mobile,Addtocart,31-12-2022
CUST-191269,Prod_190269,Clothes,Paypal,Mobile,Purchase,20-01-2024
CUST-191270,Prod_190270,Furniture,Visa Card,Desktop,Purchase,26-09-2023
CUST-191271,Prod_190271,Furniture,Visa Card,Mobile,Purchase,09-07-2021
CUST-191272,Prod_190272,Books,Momo,Mobile,Purchase,15-06-2023
CUST-191273,Prod_190273,Clothes,Momo,Mobile,Addtocart,24-05-2021
CUST-191274,Prod_190274,Furniture,Visa Card,Mobile,Purchase,25-02-2025
CUST-191275,Prod_190275,Accessories,Visa Card,Mobile,Purchase,28-09-2021
CUST-191276,Prod_190276,Furniture,Momo,Desktop,Purchase,20-11-2021
CUST-191277,Prod_190277,Clothes,Paypal,Mobile,Purchase,14-09-2024
CUST-191278,Prod_190278,Books,Paypal,Desktop,Addtocart,23-03-2024
CUST-191279,Prod_190279,Hardware,Paypal,Mobile,Purchase,04-04-2025
CUST-191280,Prod_190280,Furniture,Paypal,Desktop,Addtocart,17-08-2022
CUST-191281,Prod_190281,Beauty,Visa Card,Desktop,Addtocart,20-11-2022
CUST-191282,Prod_190282,Hardware,Visa Card,Desktop,Purchase,07-06-2020
CUST-191283,Prod_190283,Accessories,Visa Card,Mobile,Purchase,04-12-2021
CUST-191284,Prod_190284,Accessories,Visa Card,Desktop,Purchase,24-03-2025
CUST-191285,Prod_190285,Furniture,Momo,Mobile,Addtocart,28-12-2024
CUST-191286,Prod_190286,Beauty,Paypal,Mobile,Addtocart,10-12-2021
CUST-191287,Prod_190287,Books,Paypal,Mobile,Purchase,05-12-2021
CUST-191288,Prod_190288,Books,Paypal,Mobile,Addtocart,16-06-2021
CUST-191289,Prod_190289,Electronics,Momo,Mobile,Purchase,11-04-2024
CUST-191290,Prod_190290,Books,Momo,Mobile,Addtocart,08-01-2022
CUST-191291,Prod_190291,Furniture,Visa Card,Desktop,Purchase,23-05-2020
CUST-191292,Prod_190292,Hardware,Visa Card,Desktop,Purchase,31-01-2024
CUST-191293,Prod_190293,Beauty,Paypal,Desktop,Addtocart,25-12-2023
CUST-191294,Prod_190294,Hardware,Momo,Desktop,Purchase,15-05-2020
CUST-191295,Prod_190295,Beauty,Paypal,Desktop,Purchase,25-10-2024
CUST-191296,Prod_190296,Clothes,Momo,Mobile,Purchase,16-11-2020
CUST-191297,Prod_190297,Hardware,Paypal,Mobile,Purchase,04-03-2021
CUST-191298,Prod_190298,Furniture,Visa Card,Desktop,Addtocart,27-09-2023
CUST-191299,Prod_190299,Accessories,Visa Card,Mobile,Addtocart,17-07-2023
CUST-191300,Prod_190300,Books,Visa Card,Mobile,Purchase,24-05-2020
CUST-191301,Prod_190301,Hardware,Visa Card,Desktop,Purchase,30-03-2020
CUST-191302,Prod_190302,Books,Visa Card,Desktop,Purchase,04-09-2023
CUST-191303,Prod_190303,Hardware,Momo,Mobile,Purchase,03-10-2020
CUST-191304,Prod_190304,Beauty,Momo,Desktop,Purchase,30-10-2022
CUST-191305,Prod_190305,Accessories,Visa Card,Desktop,Addtocart,29-01-2020
CUST-191306,Prod_190306,Accessories,Visa Card,Mobile,Purchase,16-07-2021
CUST-191307,Prod_190307,Clothes,Visa Card,Desktop,Purchase,05-10-2022
CUST-191308,Prod_190308,Clothes,Paypal,Mobile,Addtocart,21-05-2020
CUST-191309,Prod_190309,Books,Paypal,Desktop,Purchase,19-03-2025
CUST-191310,Prod_190310,Accessories,Visa Card,Mobile,Addtocart,21-03-2024
CUST-191311,Prod_190311,Accessories,Paypal,Mobile,Addtocart,06-11-2021
CUST-191312,Prod_190312,Furniture,Momo,Mobile,Addtocart,08-12-2020
CUST-191313,Prod_190313,Beauty,Momo,Mobile,Purchase,02-06-2022
CUST-191314,Prod_190314,Furniture,Visa Card,Desktop,Addtocart,01-03-2022
CUST-191315,Prod_190315,Clothes,Paypal,Mobile,Addtocart,09-02-2023
CUST-191316,Prod_190316,Books,Visa Card,Mobile,Purchase,22-12-2021
CUST-191317,Prod_190317,Accessories,Visa Card,Mobile,Purchase,24-03-2020
CUST-191318,Prod_190318,Hardware,Momo,Desktop,Addtocart,06-04-2024
